ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
234,4,2,3,8,11:00,654,37.50230408,-77.56929779,Facebook,5,2,9
235,3,1,3,9,4:00,3857,40.72140503,-74.00520325,Facebook,6,9,9
236,3,1,2,4,7:00,387,33.9230957,-118.1396027,Facebook,6,7,7
237,1,1,1,5,8:00,511,39.99299622,-82.99849701,Facebook,3,0,5
238,3,1,5,8,8:00,516,40.76370239,-73.77249908,Facebook,4,2,5
239,2,1,2,9,15:00,900,44.90159607,-122.9223022,Facebook,5,1,5
240,2,1,1,8,4:00,269,38.77009583,-77.63210297,Facebook,6,5,7
241,3,1,1,7,6:00,369,36.11129761,-115.2790985,Facebook,5,2,9
242,3,1,1,7,20:00,1237,34.22810364,-84.1780014,Facebook,2,3,1
243,4,1,1,8,8:00,519,40.3117981,-88.146698,Facebook,6,5,9
244,4,2,1,8,7:00,14793,40.75059509,-73.82039642,Facebook,4,8,6
1,2,2,5,5,2:00,132,21.34300232,-157.934906,Instagram,4,7,7
2,3,1,1,8,4:00,228,40.44059753,-79.99590302,Instagram,4,5,5
3,3,1,1,8,4:00,285,39.59750366,-84.15599823,Instagram,4,0,0
4,4,1,1,8,4:00,251,37.75100708,-97.8219986,Instagram,5,7,7
5,2,2,1,9,5:00,274,28.02879333,-82.76889801,Instagram,7,8,7
6,2,2,1,8,5:00,303,40.4651947,-74.23069763,Instagram,7,10,10
7,3,1,1,5,5:00,311,34.0493927,-118.2640991,Instagram,7,8,10
8,2,1,1,5,5:00,304,41.36799622,-72.45639801,Instagram,1,0,0
9,3,1,1,3,5:00,338,35.61889648,-120.7668991,Instagram,4,2,0
10,2,2,2,3,5:00,319,34.0144043,-117.2771988,Instagram,5,5,8
11,3,1,1,5,5:00,301,32.84260559,-105.9890976,Instagram,3,5,5
12,2,2,1,8,4:00,258,34.0493927,-118.2640991,Instagram,5,9,9
13,4,1,1,8,5:00,319,40.73170471,-73.9885025,Instagram,5,6,6
14,3,2,1,8,6:00,388,38.11289978,-122.1331024,Instagram,7,2,10
15,4,2,1,8,6:00,381,41.10339355,-104.905899,Instagram,4,5,5
16,3,1,1,8,7:00,411,28.2118988,-80.75830078,Instagram,1,1,5
17,2,1,3,4,7:00,403,40.0256958,-74.89160156,Instagram,7,10,10
18,3,1,1,8,7:00,393,39.27839661,-76.55699921,Instagram,4,5,3
19,2,1,1,8,7:00,422,32.94900513,-96.43450165,Instagram,3,6,4
20,3,1,1,5,7:00,418,40.76179504,-73.32929993,Instagram,7,1,7
